id;id_producto;peso;descripcion
3;2724;94;Fragil
0;3410;17;Sin descripcion
2;3061;72;Fragil
2;1416;51;Fragil
4;2521;92;Sin descripcion
0;3669;48;Sin descripcion
4;2885;80;Fragil
0;367;10;Sin descripcion
1;3459;79;Sin descripcion
0;1352;16;Fragil
1;2680;99;Sin descripcion
1;2573;98;Fragil
3;1896;86;Fragil
0;3176;10;Sin descripcion
4;3110;107;Sin descripcion
2;3691;74;Sin descripcion
2;3255;15;Fragil
2;468;35;Sin descripcion
1;2086;66;Fragil
1;1559;45;Sin descripcion
0;2928;69;Sin descripcion
1;763;53;Sin descripcion
0;1694;18;Fragil
4;3238;67;Sin descripcion
2;1047;43;Sin descripcion
2;3632;108;Fragil
0;3720;60;Fragil
3;701;90;Fragil
0;1520;15;Fragil
2;898;72;Fragil
1;1498;85;Fragil
1;2136;15;Fragil
2;2873;21;Fragil
1;1774;75;Sin descripcion
0;552;66;Fragil
0;3687;76;Fragil
0;816;105;Fragil
4;3351;52;Sin descripcion
1;10;28;Fragil
1;3509;106;Sin descripcion
1;2819;98;Fragil
0;3124;63;Fragil
0;1880;57;Fragil
0;3327;100;Fragil
3;1416;93;Fragil
2;1585;36;Sin descripcion
1;3516;83;Fragil
2;960;79;Sin descripcion
0;3561;54;Fragil
2;3526;65;Sin descripcion
1;935;18;Fragil
2;28;54;Fragil
1;2314;61;Sin descripcion
3;1632;59;Sin descripcion
0;55;78;Fragil
2;2309;41;Sin descripcion
3;1594;51;Sin descripcion
0;3213;89;Fragil
0;2588;25;Sin descripcion
0;709;41;Sin descripcion
1;967;31;Sin descripcion
2;3182;13;Sin descripcion
0;1972;24;Fragil
3;12;75;Fragil
2;3529;44;Sin descripcion
4;3473;79;Fragil
1;454;104;Fragil
0;3675;67;Fragil
1;167;34;Fragil
2;3111;17;Sin descripcion
2;1225;10;Sin descripcion
0;2836;47;Fragil
0;304;97;Sin descripcion
0;3646;14;Fragil
0;2980;17;Sin descripcion
1;3695;48;Fragil
0;3690;36;Sin descripcion
3;91;77;Sin descripcion
0;919;20;Fragil
0;2455;99;Sin descripcion
0;2462;13;Sin descripcion
0;756;49;Sin descripcion
1;2349;45;Sin descripcion
2;2107;26;Fragil
0;3286;81;Sin descripcion
3;1963;76;Fragil
2;1434;36;Fragil
0;2015;79;Sin descripcion
0;1553;24;Sin descripcion
3;3276;36;Sin descripcion
0;1804;41;Sin descripcion
2;1652;29;Sin descripcion
0;221;29;Fragil
1;3024;12;Fragil
4;152;98;Sin descripcion
2;1341;61;Fragil
0;668;58;Sin descripcion
0;3482;109;Sin descripcion
0;405;58;Sin descripcion
2;3490;78;Sin descripcion
0;2000;109;Sin descripcion
1;3640;77;Fragil
0;3265;88;Sin descripcion
2;2116;76;Fragil
3;1788;15;Fragil
0;2942;26;Fragil
0;3407;71;Fragil
1;2045;14;Sin descripcion
0;3394;37;Fragil
1;2312;79;Fragil
0;1075;81;Fragil
2;3251;15;Fragil
3;3598;38;Fragil
0;1297;61;Fragil
1;3668;101;Fragil
0;2559;51;Sin descripcion
1;1358;33;Sin descripcion
4;3126;46;Sin descripcion
2;3594;93;Sin descripcion
2;764;74;Sin descripcion
0;3263;90;Sin descripcion
0;3384;30;Sin descripcion
2;3121;25;Fragil
3;402;99;Fragil
1;3021;32;Fragil
1;1240;51;Sin descripcion
1;36;109;Fragil
0;1672;70;Sin descripcion
1;580;65;Fragil
0;755;66;Fragil
4;3395;101;Sin descripcion
3;3247;75;Sin descripcion
1;3339;52;Fragil
4;1809;59;Fragil
3;3471;92;Sin descripcion
0;2088;11;Sin descripcion
0;3160;92;Sin descripcion
1;1374;63;Sin descripcion
2;905;98;Sin descripcion
3;2047;72;Fragil
1;254;17;Sin descripcion
0;3650;30;Fragil
4;3050;52;Fragil
4;237;40;Fragil
1;516;85;Fragil
2;3304;77;Sin descripcion
1;2734;71;Fragil
0;1621;39;Sin descripcion
0;1635;10;Fragil
2;333;84;Sin descripcion
3;143;95;Fragil
0;857;35;Sin descripcion
0;1893;63;Sin descripcion
0;1390;99;Sin descripcion
2;2633;72;Fragil
0;1076;45;Sin descripcion
1;55;10;Fragil
1;859;103;Fragil
1;796;70;Fragil
0;3067;33;Sin descripcion
1;98;103;Fragil
1;1376;55;Fragil
2;2990;101;Sin descripcion
4;3464;94;Sin descripcion
2;2632;75;Fragil
3;3004;94;Fragil
1;3687;88;Sin descripcion
0;3170;49;Fragil
2;361;56;Sin descripcion
2;540;88;Sin descripcion
1;1964;73;Sin descripcion
0;2859;61;Fragil
1;3565;88;Sin descripcion
1;2302;28;Sin descripcion
2;314;48;Sin descripcion
0;1846;14;Fragil
4;1644;87;Sin descripcion
0;1946;17;Fragil
3;2201;86;Sin descripcion
1;3461;18;Fragil
0;3704;90;Fragil
4;1358;31;Sin descripcion
2;2532;22;Sin descripcion
1;3402;25;Sin descripcion
2;2829;58;Sin descripcion
0;2578;31;Fragil
1;757;103;Fragil
2;3220;14;Fragil
3;3533;91;Fragil
1;2450;95;Sin descripcion
3;427;79;Sin descripcion
4;3677;57;Fragil
3;3568;54;Fragil
2;2026;23;Sin descripcion
0;41;92;Fragil
0;1176;94;Fragil
1;3645;89;Fragil
1;584;32;Fragil
0;1526;78;Fragil
0;631;62;Fragil
2;3431;49;Sin descripcion
0;3217;16;Fragil
3;2203;100;Fragil
1;1017;52;Fragil
2;414;99;Fragil
1;2761;106;Fragil
0;3244;107;Sin descripcion
1;1354;104;Sin descripcion
3;2085;75;Fragil
4;2298;84;Sin descripcion
0;1348;96;Fragil
0;3195;56;Fragil
2;3320;55;Fragil
1;225;40;Sin descripcion
0;1220;46;Fragil
0;161;47;Fragil
0;1200;69;Fragil
3;1708;58;Sin descripcion
2;1809;42;Sin descripcion
2;1665;76;Sin descripcion
0;1051;28;Fragil
2;546;56;Sin descripcion
0;3334;77;Fragil
0;1138;31;Sin descripcion
2;817;55;Fragil
0;68;85;Sin descripcion
2;1772;18;Sin descripcion
1;2466;46;Fragil
2;2711;91;Fragil
1;3380;96;Sin descripcion
1;559;57;Fragil
0;2663;20;Fragil
4;3456;39;Fragil
3;771;42;Fragil
0;2174;16;Fragil
2;80;105;Fragil
1;1784;51;Fragil
2;1433;30;Fragil
1;2172;94;Sin descripcion
1;3451;25;Fragil
3;2633;89;Fragil
0;3007;87;Sin descripcion
0;3322;16;Fragil
2;2792;108;Sin descripcion
3;3610;56;Sin descripcion
1;491;71;Sin descripcion
1;1596;109;Fragil
1;1557;38;Sin descripcion
0;281;12;Sin descripcion
1;1830;108;Fragil
0;623;77;Sin descripcion
2;3131;74;Sin descripcion
0;3718;63;Fragil
2;1828;87;Fragil
0;0;33;Fragil
0;2006;12;Fragil
1;3061;43;Sin descripcion
0;2583;101;Fragil
0;1184;84;Sin descripcion
3;566;25;Fragil
1;3226;13;Sin descripcion
1;2118;31;Sin descripcion
0;3653;69;Sin descripcion
4;605;30;Sin descripcion
0;688;30;Fragil
2;961;107;Fragil
0;2881;99;Sin descripcion
0;324;78;Sin descripcion
1;3721;98;Sin descripcion
2;92;46;Fragil
2;3311;91;Sin descripcion
0;3169;71;Sin descripcion
0;2704;15;Sin descripcion
3;1977;46;Fragil
4;3416;99;Sin descripcion
0;935;18;Sin descripcion
1;2634;44;Sin descripcion
2;1861;88;Sin descripcion
3;1461;27;Sin descripcion
0;171;77;Fragil
3;1319;59;Fragil
3;3550;69;Sin descripcion
2;3235;31;Sin descripcion
0;3300;40;Sin descripcion
3;3041;48;Sin descripcion
2;3348;86;Sin descripcion
3;3651;17;Sin descripcion
3;3258;46;Fragil
0;3487;79;Sin descripcion
3;3645;19;Sin descripcion
2;1854;91;Fragil
2;3139;41;Sin descripcion
2;635;27;Sin descripcion
2;900;66;Sin descripcion
0;1517;14;Sin descripcion
2;1653;11;Fragil
1;2972;34;Sin descripcion
3;2739;98;Fragil
0;3494;21;Sin descripcion
0;1655;86;Fragil
3;1321;94;Sin descripcion
2;3216;35;Fragil
4;3160;64;Fragil
0;3061;23;Sin descripcion
4;1641;54;Sin descripcion
0;3376;33;Sin descripcion
0;3492;20;Fragil
2;1980;83;Fragil
2;1974;100;Sin descripcion
2;965;32;Sin descripcion
3;1704;92;Sin descripcion
2;1114;28;Sin descripcion
3;1303;51;Fragil
3;1311;96;Sin descripcion
3;1818;105;Sin descripcion
3;2090;57;Fragil
4;1218;55;Sin descripcion
1;3562;56;Sin descripcion
2;324;38;Fragil
1;1164;92;Fragil
2;944;102;Sin descripcion
0;1715;109;Fragil
0;3151;68;Fragil
0;2720;62;Sin descripcion
2;1450;80;Fragil
0;2299;105;Sin descripcion
0;2672;50;Sin descripcion
1;3252;81;Sin descripcion
1;1525;69;Sin descripcion
0;3168;21;Fragil
1;2990;34;Sin descripcion
0;2442;59;Sin descripcion
3;1400;102;Fragil
2;2060;37;Fragil
1;1779;100;Sin descripcion
2;918;75;Sin descripcion
1;1566;40;Sin descripcion
